"","dataID","HHuniqueID","Communication.x","LastContactDay","LastContactMonth","NoOfContacts.x","DaysPassed.x","PrevAttempts.x","past_Outcome.x","Y_AcceptedOffer.x","DTPrediction.0","DTPrediction.1","RF1Prediction","prospectRF500.0","prospectRF500.1","prospectRF100.0","prospectRF100.1","prospectRFtc.0","prospectRFtc.1","prospectLogReg","prospectLGBoost.0","prospectLGBoost.1","prospectKNN.0","prospectKNN.1","Communication.y","NoOfContacts.y","DaysPassed.y","PrevAttempts.y","carMake","carModel","carYr","headOfhouseholdGender","annualDonations","EstRace","PetsPurchases","DigitalHabits_5_AlwaysOn","AffluencePurchases","Age","Job","Marital","Education","DefaultOnRecord","RecentBalance","HHInsurance","CarLoan","Weekday","CallDayTime","past_Outcome.y","call_dur_min","Y_AcceptedOffer.y","combinedscore","rank"
"1",4324,"HHda44d03dd1","cellular",6,"aug",4,-1,0,NA,NA,0.222222222222222,0.777777777777778,0.740222222222222,0.306,0.694,0.36,0.64,0.172,0.828,0.00013293968037836,0.0474258731775666,0.952574126822433,0.765957446808511,0.234042553191489,"cellular",4,-1,0,"Toyota","T100",2007,"F","$42.61 ","",FALSE,3,FALSE,49,"blue-collar","married","secondary",0,-42,0,0,"Thursday",17,NA,9.75000000000009,NA,4.1263944577917,195
"2",4653,"HHdbe76584b6","cellular",8,"may",2,361,4,"failure",NA,0.894642857142857,0.105357142857143,0.0238888888888888,0.972,0.028,0.93,0.07,0.962,0.038,0.025310474064587,0.993307149075715,0.00669285092428486,0.723404255319149,0.276595744680851,"cellular",2,361,4,"Toyota","Corolla",2006,"F","","",FALSE,5,TRUE,32,"blue-collar","married","primary",0,0,1,1,"Friday",10,"failure",1.36666666666667,NA,0.524645738462279,883
"3",4398,"HHc76e1bfd51","cellular",15,"jun",1,105,1,"failure",NA,0.894642857142857,0.105357142857143,0.329777777777778,0.64,0.36,0.64,0.36,0.592,0.408,0.423356380956831,0.268941421369995,0.731058578630005,0.5625,0.4375,"cellular",1,105,1,"Mazda","",2019,"F","","Mexican",TRUE,3,FALSE,26,"admin.","married","secondary",0,1595,0,0,"Monday",14,"failure",2.58333333333331,NA,2.40191572148715,443
"4",4082,"HH47baf19fd4",NA,6,"jun",3,-1,0,NA,NA,0.894642857142857,0.105357142857143,0.0146666666666665,0.986,0.014,0.99,0.01,0.992,0.008,0.0116649541470314,0.993307149075715,0.00669285092428486,0.829787234042553,0.170212765957447,"not provided",3,-1,0,"Subaru","Impreza",2011,"M","","",FALSE,5,TRUE,46,"not provided","married",NA,0,2367,0,0,"Saturday",16,NA,1.43333333333329,NA,0.314262759738875,977
"5",4388,"HH1e95c7e336","telephone",22,"jul",1,-1,0,NA,NA,0.894642857142857,0.105357142857143,0.0634999999999999,0.92,0.08,0.86,0.14,0.966,0.034,0.210710723197248,0.731058578630005,0.268941421369995,0.808510638297872,0.191489361702128,"telephone",1,-1,0,"Ford","Taurus",2007,"M","","Colombian",FALSE,1,FALSE,45,"technician","married","secondary",0,1118,1,0,"Wednesday",16,NA,0.44999999999991,NA,0.819787925929266,756
"6",4804,"HHe4cd927731","cellular",6,"may",2,-1,0,NA,NA,0.222222222222222,0.777777777777778,0.493833333333333,0.464,0.536,0.53,0.47,0.414,0.586,3.84851413587474e-05,0.268941421369995,0.731058578630005,0.595744680851064,0.404255319148936,"cellular",2,-1,0,"Chevrolet","Tahoe",2013,"M","$481.63 ","Bolivian",FALSE,3,FALSE,28,"blue-collar","single","secondary",0,524,1,0,"Wednesday",13,NA,9.23333333333323,NA,3.50509167555672,295
"7",4140,"HH86c81ee4ec","cellular",12,"jun",5,-1,0,NA,NA,0.894642857142857,0.105357142857143,0.317166666666667,0.698,0.302,0.69,0.31,0.672,0.328,0.225800460514882,0.952574126822433,0.0474258731775668,0.680851063829787,0.319148936170213,"cellular",5,-1,0,"Chevrolet","Corvette",2019,"M","","",FALSE,1,TRUE,26,"self-employed","single","tertiary",0,1444,0,0,"Friday",12,NA,2.31666666666682,NA,1.41193195220492,593
"8",4346,"HH413fea90b3","cellular",18,"may",1,-1,0,NA,NA,0.787671232876712,0.212328767123288,0.176833333333333,0.832,0.168,0.75,0.25,0.884,0.116,0.299575314040348,0.731058578630005,0.268941421369995,0.51063829787234,0.48936170212766,"cellular",1,-1,0,"GMC","Envoy",2013,"F","","Salvadoran",FALSE,3,TRUE,29,"admin.","married","secondary",0,-211,1,0,"Monday",14,NA,0.966666666666605,NA,1.50463189062094,571
"9",4622,"HHa259285de7","cellular",7,"jul",1,-1,0,NA,NA,0.894642857142857,0.105357142857143,0.304777777777778,0.694,0.306,0.76,0.24,0.796,0.204,0.515680460014885,0.731058578630005,0.268941421369995,0.659574468085106,0.340425531914894,"cellular",1,-1,0,"Kia","Sedona",2013,"F","","Indonesian",FALSE,3,FALSE,32,"admin.","married","secondary",0,51,1,1,"Tuesday",13,NA,4.94999999999997,NA,1.46472409614203,582
"10",4863,"HH2aea813a29",NA,26,"may",3,-1,0,NA,NA,0.878048780487805,0.121951219512195,0.271888888888889,0.736,0.264,0.62,0.38,0.834,0.166,4.50360677650466e-05,0.952574126822433,0.0474258731775668,0.851063829787234,0.148936170212766,"not provided",3,-1,0,"Ford","Tempo",2002,"M","","Argentinian",TRUE,2,TRUE,24,"blue-collar","married","secondary",0,685,1,0,"Tuesday",10,NA,14.9333333333333,NA,1.12831326290253,650
