"","dataID","HHuniqueID","Communication.x","LastContactDay.x","LastContactMonth.x","NoOfContacts.x","DaysPassed.x","PrevAttempts.x","past_Outcome","Y_AcceptedOffer","carMake","carModel","carYr","headOfhouseholdGender","annualDonations","EstRace","PetsPurchases","DigitalHabits_5_AlwaysOn","AffluencePurchases","Age.x","Job.x","Marital.x","Education.x","DefaultOnRecord","RecentBalance","HHInsurance.x","CarLoan.x","Age.y","Job.y","Marital.y","Education.y","Default","Balance","HHInsurance.y","CarLoan.y","Communication.y","LastContactDay.y","LastContactMonth.y","NoOfContacts.y","DaysPassed.y","PrevAttempts.y","Outcome","CallStart","CallEnd","CarInsurance","RFPrediction.0","RFPrediction.1"
"1",4324,"HHda44d03dd1","cellular",6,"aug",4,-1,0,NA,NA,"Toyota","T100",2007,"F","$42.61 ","",FALSE,3,FALSE,49,"blue-collar","married","secondary",0,-42,0,0,49,"blue-collar","married","secondary",0,-42,0,0,"cellular",6,"aug",4,-1,0,NA,"17:31:25","17:41:10",NA,0.513333333333333,0.486666666666667
"2",4653,"HHdbe76584b6","cellular",8,"may",2,361,4,"failure",NA,"Toyota","Corolla",2006,"F","","",FALSE,5,TRUE,32,"blue-collar","married","primary",0,0,1,1,32,"blue-collar","married","primary",0,0,1,1,"cellular",8,"may",2,361,4,"failure","10:22:35","10:23:57",NA,0.853333333333333,0.146666666666667
"3",4398,"HHc76e1bfd51","cellular",15,"jun",1,105,1,"failure",NA,"Mazda","",NA,"F","","Mexican",TRUE,3,FALSE,26,"admin.","married","secondary",0,1595,0,0,26,"admin.","married","secondary",0,1595,0,0,"cellular",15,"jun",1,105,1,"failure","14:24:57","14:27:32",NA,0.62,0.38
"4",4082,"HH47baf19fd4",NA,6,"jun",3,-1,0,NA,NA,"Subaru","Impreza",2011,"M","","",FALSE,5,TRUE,46,NA,"married",NA,0,2367,0,0,46,NA,"married",NA,0,2367,0,0,NA,6,"jun",3,-1,0,NA,"16:04:53","16:06:19",NA,0.936666666666667,0.0633333333333333
"5",4388,"HH1e95c7e336","telephone",22,"jul",1,-1,0,NA,NA,"Ford","Taurus",2007,"M","","Colombian",FALSE,1,FALSE,45,"technician","married","secondary",0,1118,1,0,45,"technician","married","secondary",0,1118,1,0,"telephone",22,"jul",1,-1,0,NA,"16:50:07","16:50:34",NA,0.773333333333333,0.226666666666667
"6",4804,"HHe4cd927731","cellular",6,"may",2,-1,0,NA,NA,"Chevrolet","Tahoe",2013,"M","$481.63 ","Bolivian",FALSE,3,FALSE,28,"blue-collar","single","secondary",0,524,1,0,28,"blue-collar","single","secondary",0,524,1,0,"cellular",6,"may",2,-1,0,NA,"13:00:26","13:09:40",NA,0.516666666666667,0.483333333333333
"7",4140,"HH86c81ee4ec","cellular",12,"jun",5,-1,0,NA,NA,"Chevrolet","Corvette",2019,"M","","",FALSE,1,TRUE,26,"self-employed","single","tertiary",0,1444,0,0,26,"self-employed","single","tertiary",0,1444,0,0,"cellular",12,"jun",5,-1,0,NA,"12:27:50","12:30:09",NA,0.59,0.41
"8",4346,"HH413fea90b3","cellular",18,"may",1,-1,0,NA,NA,"GMC","Envoy",2013,"F","","Salvadoran",FALSE,3,TRUE,29,"admin.","married","secondary",0,-211,1,0,29,"admin.","married","secondary",0,-211,1,0,"cellular",18,"may",1,-1,0,NA,"14:19:44","14:20:42",NA,0.626666666666667,0.373333333333333
"9",4622,"HHa259285de7","cellular",7,"jul",1,-1,0,NA,NA,"Kia","Sedona",2013,"F","","Indonesian",FALSE,3,FALSE,32,"admin.","married","secondary",0,51,1,1,32,"admin.","married","secondary",0,51,1,1,"cellular",7,"jul",1,-1,0,NA,"13:22:06","13:27:03",NA,0.613333333333333,0.386666666666667
"10",4863,"HH2aea813a29",NA,26,"may",3,-1,0,NA,NA,"Ford","Tempo",2002,"M","","Argentinian",TRUE,2,TRUE,24,"blue-collar","married","secondary",0,685,1,0,24,"blue-collar","married","secondary",0,685,1,0,NA,26,"may",3,-1,0,NA,"10:20:26","10:35:22",NA,0.56,0.44
"11",4459,"HHfb3b9d394b","cellular",9,"jul",1,-1,0,NA,NA,"Cadillac","XLR-V",2016,"M","$911.93 ","",TRUE,5,TRUE,32,"management","married","tertiary",0,794,1,1,32,"management","married","tertiary",0,794,1,1,"cellular",9,"jul",1,-1,0,NA,"14:12:42","14:29:36",NA,0.336666666666667,0.663333333333333
"12",4323,"HHea9a43ceb7","cellular",30,"apr",1,183,2,"success",NA,"Volkswagen","Fox",2003,"M","","",TRUE,2,TRUE,54,"technician","married","tertiary",0,395,0,0,54,"technician","married","tertiary",0,395,0,0,"cellular",30,"apr",1,183,2,"success","14:33:38","14:36:41",NA,0.356666666666667,0.643333333333333
"13",4399,"HH4d87c5df89","cellular",29,"jan",1,261,3,"failure",NA,"Ford","Explorer",2007,"M","","",FALSE,1,TRUE,45,"blue-collar","married","primary",0,300,1,0,45,"blue-collar","married","primary",0,300,1,0,"cellular",29,"jan",1,261,3,"failure","09:13:35","09:16:58",NA,0.816666666666667,0.183333333333333
"14",4290,"HH32827939bb","cellular",6,"aug",4,-1,0,NA,NA,"Hyundai","Tiburon",2018,"F","","",FALSE,5,FALSE,30,"management","single","tertiary",0,2876,0,0,30,"management","single","tertiary",0,2876,0,0,"cellular",6,"aug",4,-1,0,NA,"16:40:59","16:42:42",NA,0.4,0.6
"15",4477,"HHbe177d8e20",NA,26,"may",1,-1,0,NA,NA,"Chevrolet","Aveo",2018,"M","","",FALSE,3,TRUE,29,"technician","single","tertiary",0,1185,1,0,29,"technician","single","tertiary",0,1185,1,0,NA,26,"may",1,-1,0,NA,"10:25:24","10:34:20",NA,0.42,0.58
