"","Communication_catP","Communication_catB","NoOfContacts","DaysPassed","PrevAttempts_catP","PrevAttempts_catB","past_Outcome_catP","past_Outcome_catB","carMake_catP","carMake_catB","carModel_catP","carModel_catB","carYr","annualDonations_catP","annualDonations_catB","EstRace_catP","EstRace_catB","DigitalHabits_5_AlwaysOn","Age","Job_catP","Job_catB","Marital_catP","Marital_catB","Education_catP","Education_catB","RecentBalance","CarLoan","Weekday_catP","Weekday_catB","CallDayTime","call_dur_min","Communication_lev_x_cellular","Communication_lev_x_not_provided","Communication_lev_x_telephone","PrevAttempts_lev_x_0","PrevAttempts_lev_x_1","PrevAttempts_lev_x_2","PrevAttempts_lev_x_3","past_Outcome_lev_x_failure","past_Outcome_lev_x_Not_Available","past_Outcome_lev_x_other","past_Outcome_lev_x_success","carMake_lev_x_","carMake_lev_x_Audi","carMake_lev_x_BMW","carMake_lev_x_Chevrolet","carMake_lev_x_Dodge","carMake_lev_x_Ford","carMake_lev_x_GMC","carMake_lev_x_Honda","carMake_lev_x_Lexus","carMake_lev_x_Mazda","carMake_lev_x_Mercedes_minus_Benz","carMake_lev_x_Mitsubishi","carMake_lev_x_Nissan","carMake_lev_x_Pontiac","carMake_lev_x_Toyota","carMake_lev_x_Volkswagen","carModel_lev_x_","headOfhouseholdGender_lev_x_F","headOfhouseholdGender_lev_x_M","annualDonations_lev_x_","EstRace_lev_x_","PetsPurchases_lev_x_FALSE","PetsPurchases_lev_x_TRUE","AffluencePurchases_lev_x_FALSE","AffluencePurchases_lev_x_TRUE","Job_lev_x_admin_","Job_lev_x_blue_minus_collar","Job_lev_x_entrepreneur","Job_lev_x_housemaid","Job_lev_x_management","Job_lev_x_retired","Job_lev_x_self_minus_employed","Job_lev_x_services","Job_lev_x_student","Job_lev_x_technician","Job_lev_x_unemployed","Marital_lev_x_divorced","Marital_lev_x_married","Marital_lev_x_single","Education_lev_x_Not_Available","Education_lev_x_primary","Education_lev_x_secondary","Education_lev_x_tertiary","DefaultOnRecord_lev_x_0","HHInsurance_lev_x_0","HHInsurance_lev_x_1","Weekday_lev_x_Friday","Weekday_lev_x_Monday","Weekday_lev_x_Saturday","Weekday_lev_x_Sunday","Weekday_lev_x_Thursday","Weekday_lev_x_Tuesday","Weekday_lev_x_Wednesday","Y_AcceptedOffer"
"1",0.06675,0.243671324560982,2,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.0365,0.153464329283715,0.0035,0.401300150200969,2014,0.892,-0.011410495784355,0.003,-1.20809776343309,4,32,0.22325,0.155955944407796,0.30325,0.250976518675894,0.3205,0.273200167612751,1218,0,0.19425,0.0978342893645614,13,1.16666666666664,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"0"
"2",0.2255,-1.07324444001214,5,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.0145,0.401300150200969,0.002,-0.697278806244879,2009,0.892,-0.011410495784355,0.76275,0.0157348660073867,2,32,0.18975,-0.501196988105118,0.576,-0.167363876166577,0.14025,-0.228333385040276,1156,0,0.19425,0.0978342893645614,14,3.08333333333323,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"0"
"3",0.70775,0.256221076833498,1,119,0.08375,0.62310038446226,0.10925,0.00726392295639489,0.08125,0.122586921477013,0.00075,-0.291797034108685,2011,0.892,-0.011410495784355,0.76275,0.0157348660073867,1,29,0.22325,0.155955944407796,0.30325,0.250976518675894,0.3205,0.273200167612751,637,0,0.192,0.0379807602533071,16,5.66666666666654,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,"1"
"4",0.70775,0.256221076833498,2,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.0185,-0.0380652835327131,0.0025,-0.00415662474746986,2008,0.892,-0.011410495784355,0.76275,0.0157348660073867,1,25,0.03275,1.08301751163723,0.30325,0.250976518675894,0.14025,-0.228333385040276,373,0,0.1075,0.644349954469265,12,13.6499999999999,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,"1"
"5",0.70775,0.256221076833498,1,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.0105,0.113619466631325,0.0015,0.401300150200969,2008,0.892,-0.011410495784355,0.00175,-0.514960582723147,3,30,0.22325,0.155955944407796,0.576,-0.167363876166577,0.3205,0.273200167612751,2694,0,0.192,0.0379807602533071,14,3.20000000000002,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,"0"
"6",0.70775,0.256221076833498,1,109,0.08375,0.62310038446226,0.10925,0.00726392295639489,0.0145,0.401300150200969,0.00275,0.960905224061132,2013,0.892,-0.011410495784355,0.76275,0.0157348660073867,3,32,0.165,-0.0677185949869056,0.30325,0.250976518675894,0.3205,0.273200167612751,1625,0,0.17025,-0.325072445401848,14,13.2666666666668,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"1"
"7",0.70775,0.256221076833498,1,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.01975,0.0168894486284429,0.00375,0.534829757135121,2019,0.892,-0.011410495784355,0.76275,0.0157348660073867,1,37,0.11475,0.00852804446818067,0.30325,0.250976518675894,0.3205,0.273200167612751,1000,0,0.19425,0.0978342893645614,13,3.25000000000003,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"1"
"8",0.2255,-1.07324444001214,4,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.026,0.247149767992182,0.0015,-1.2080577670328,2017,0.892,-0.011410495784355,0.00425,0.51908179698486,3,35,0.22325,0.155955944407796,0.12075,0.138935995623541,0.3205,0.273200167612751,538,0,0.19425,0.0978342893645614,15,1.10000000000001,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"0"
"9",0.70775,0.256221076833498,1,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.08325,0.0679161282287491,0.003,-1.99650421846484,1985,0.892,-0.011410495784355,0.76275,0.0157348660073867,4,30,0.11475,0.00852804446818067,0.576,-0.167363876166577,0.497,-0.142933695421941,187,0,0.192,0.0379807602533071,12,1.76666666666673,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,"0"
"10",0.70775,0.256221076833498,2,-1,0.7605,-0.246328973197271,0.7605,-0.246328973197271,0.01,0.501383107507331,0.0015,0.401300150200969,2018,0.892,-0.011410495784355,0.76275,0.0157348660073867,4,30,0.18975,-0.501196988105118,0.576,-0.167363876166577,0.497,-0.142933695421941,3,1,0.19425,0.0978342893645614,9,5.43333333333328,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,"0"
