dataID,HHuniqueID,Communication.x,LastContactDay.x,LastContactMonth.x,NoOfContacts.x,DaysPassed.x,PrevAttempts.x,past_Outcome,CallStart.x,CallEnd.x,Y_AcceptedOffer,carMake,carModel,carYr,headOfhouseholdGender,annualDonations,EstRace,PetsPurchases,DigitalHabits_5_AlwaysOn,AffluencePurchases,Age.x,Job.x,Marital.x,Education.x,DefaultOnRecord,RecentBalance,HHInsurance.x,CarLoan.x,Age.y,Job.y,Marital.y,Education.y,Default,Balance,HHInsurance.y,CarLoan.y,Communication.y,LastContactDay.y,LastContactMonth.y,NoOfContacts.y,DaysPassed.y,PrevAttempts.y,Outcome,CallStart.y,CallEnd.y,CarInsurance
1,HHd4d0af8c72,telephone,28,jan,2,-1,0,,13:45:20,13:46:30,DidNotAccept,Mitsubishi,Eclipse,2014,F,,Fijian,TRUE,4,FALSE,32,management,single,tertiary,0,1218,1,0,32,management,single,tertiary,0,1218,1,0,telephone,28,jan,2,-1,0,,13:45:20,13:46:30,0
2,HH8d3e87c164,,26,may,5,-1,0,,14:49:03,14:52:08,DidNotAccept,Hyundai,Elantra,2009,M,,,TRUE,2,FALSE,32,blue-collar,married,primary,0,1156,1,0,32,blue-collar,married,primary,0,1156,1,0,,26,may,5,-1,0,,14:49:03,14:52:08,0
3,HHdd53ef1db6,cellular,3,jun,1,119,1,failure,16:30:24,16:36:04,Accepted,Ford,Explorer Sport,2011,F,,,FALSE,1,FALSE,29,management,single,tertiary,0,637,1,0,29,management,single,tertiary,0,637,1,0,cellular,3,jun,1,119,1,failure,16:30:24,16:36:04,1
4,HH6fa0de6516,cellular,11,may,2,-1,0,,12:06:43,12:20:22,Accepted,Buick,Regal,2008,F,,,TRUE,1,TRUE,25,student,single,primary,0,373,1,0,25,student,single,primary,0,373,1,0,cellular,11,may,2,-1,0,,12:06:43,12:20:22,1
5,HHeb436ca7cf,cellular,3,jun,1,-1,0,,14:35:44,14:38:56,DidNotAccept,Isuzu,Oasis,2008,F,,Paraguayan,TRUE,3,TRUE,30,management,married,tertiary,0,2694,0,0,30,management,married,tertiary,0,2694,0,0,cellular,3,jun,1,-1,0,,14:35:44,14:38:56,0
6,HH5119beb3cd,cellular,22,may,1,109,1,failure,14:58:08,15:11:24,Accepted,Hyundai,Accent,2013,F,,,TRUE,3,FALSE,32,technician,single,tertiary,0,1625,0,0,32,technician,single,tertiary,0,1625,0,0,cellular,22,may,1,109,1,failure,14:58:08,15:11:24,1
7,HH3a1172a4ab,cellular,17,mar,1,-1,0,,13:00:02,13:03:17,Accepted,Subaru,Legacy,2019,F,,,TRUE,1,TRUE,37,admin.,single,tertiary,0,1000,1,0,37,admin.,single,tertiary,0,1000,1,0,cellular,17,mar,1,-1,0,,13:00:02,13:03:17,1
8,HHac2e1c4845,,12,may,4,-1,0,,15:39:43,15:40:49,DidNotAccept,Audi,S8,2017,F,,Guamanian,FALSE,3,FALSE,35,management,divorced,tertiary,0,538,1,0,35,management,divorced,tertiary,0,538,1,0,,12,may,4,-1,0,,15:39:43,15:40:49,0
9,HH76d6ee152b,cellular,18,nov,1,-1,0,,12:20:56,12:22:42,DidNotAccept,Chevrolet,Camaro,1985,M,,,TRUE,4,FALSE,30,admin.,married,secondary,0,187,1,0,30,admin.,married,secondary,0,187,1,0,cellular,18,nov,1,-1,0,,12:20:56,12:22:42,0
10,HHa2c59d2e2f,cellular,12,may,2,-1,0,,9:22:20,9:27:46,DidNotAccept,Kia,Sedona,2018,M,,,FALSE,4,TRUE,30,blue-collar,married,secondary,0,3,1,1,30,blue-collar,married,secondary,0,3,1,1,cellular,12,may,2,-1,0,,09:22:20,09:27:46,0
11,HH9122fe2c6a,cellular,1,jun,1,-1,0,,13:04:28,13:07:29,DidNotAccept,Subaru,SVX,,F,$556.28 ,Bolivian,TRUE,4,FALSE,27,services,single,secondary,0,0,0,0,27,services,single,secondary,0,0,0,0,cellular,1,jun,1,-1,0,,13:04:28,13:07:29,0
