"","HHuniqueID","Communication","NoOfContacts","DaysPassed","PrevAttempts","carMake","carModel","carYr","headOfhouseholdGender","annualDonations","EstRace","PetsPurchases","DigitalHabits_5_AlwaysOn","AffluencePurchases","Age","Job","Marital","Education","DefaultOnRecord","RecentBalance","HHInsurance","CarLoan","Weekday","CallDayTime","past_Outcome","call_dur_min","Y_AcceptedOffer","DTPrediction.0","DTPrediction.1","RF1Prediction","RF500rediction.0","RF500rediction.1","RF100rediction.0","RF100rediction.1","trainingRFtc.0","trainingRFtc.1","trainingLG","trainingLGBoost.0","trainingLGBoost.1","trainingKNN.0","trainingKNN.1","combinedscore","rank"
"1","HHd4d0af8c72","telephone",2,-1,0,"Mitsubishi","Eclipse",2014,"F","","Fijian",TRUE,4,FALSE,32,"management","single","tertiary",0,1218,1,0,"Tuesday",13,NA,1.16666666666664,0,0.894642857142857,0.105357142857143,0.0415,0.944,0.056,0.95,0.05,0.934,0.066,0.0641370376400715,0.952574126822433,0.0474258731775668,0.604166666666667,0.395833333333333,0.784753387008114,2693
"2","HH8d3e87c164","not provided",5,-1,0,"Hyundai","Elantra",2009,"M","","",TRUE,2,FALSE,32,"blue-collar","married","primary",0,1156,1,0,"Tuesday",14,NA,3.08333333333323,0,0.894642857142857,0.105357142857143,0.00733333333333309,0.998,0.002,1,0,0.996,0.004,0.0180509479748432,0.952574126822433,0.0474258731775668,0.851063829787234,0.148936170212766,0.325770134222319,3666
"3","HHdd53ef1db6","cellular",1,119,1,"Ford","Explorer Sport",2011,"F","","",FALSE,1,FALSE,29,"management","single","tertiary",0,637,1,0,"Wednesday",16,"failure",5.66666666666654,1,0.894642857142857,0.105357142857143,0.713333333333333,0.206,0.794,0.17,0.83,0.236,0.764,0.319932354422081,0.268941421369995,0.731058578630005,0.531914893617021,0.468085106382979,4.01243318229221,1415
"4","HH6fa0de6516","cellular",2,-1,0,"Buick","Regal",2008,"F","","",TRUE,1,TRUE,25,"student","single","primary",0,373,1,0,"Monday",12,NA,13.6499999999999,1,0.222222222222222,0.777777777777778,0.983166666666667,0.02,0.98,0.04,0.96,0.02,0.98,0.95617964052544,0.0474258731775666,0.952574126822433,0.340425531914894,0.659574468085106,6.26610601321076,255
"5","HHeb436ca7cf","cellular",1,-1,0,"Isuzu","Oasis",2008,"F","","Paraguayan",TRUE,3,TRUE,30,"management","married","tertiary",0,2694,0,0,"Wednesday",14,NA,3.20000000000002,0,0.894642857142857,0.105357142857143,0.213555555555556,0.84,0.16,0.85,0.15,0.808,0.192,0.275175736151295,0.731058578630005,0.268941421369995,0.638297872340426,0.361702127659574,1.51317642803801,2113
"6","HH5119beb3cd","cellular",1,109,1,"Hyundai","Accent",2013,"F","","",TRUE,3,FALSE,32,"technician","single","tertiary",0,1625,0,0,"Friday",14,"failure",13.2666666666668,1,0.222222222222222,0.777777777777778,0.965777777777778,0.028,0.972,0.02,0.98,0.012,0.988,0.976521105779523,0.00669285092428473,0.993307149075715,0.595744680851064,0.404255319148936,6.09186135178195,442
"7","HH3a1172a4ab","cellular",1,-1,0,"Subaru","Legacy",2019,"F","","",TRUE,1,TRUE,37,"admin.","single","tertiary",0,1000,1,0,"Tuesday",13,NA,3.25000000000003,1,0.787671232876712,0.212328767123288,0.630833333333333,0.28,0.72,0.26,0.74,0.276,0.724,0.488421282984615,0.268941421369995,0.731058578630005,0.574468085106383,0.425531914893617,4.04134054363152,1405
"8","HHac2e1c4845","not provided",4,-1,0,"Audi","S8",2017,"F","","Guamanian",FALSE,3,FALSE,35,"management","divorced","tertiary",0,538,1,0,"Tuesday",15,NA,1.10000000000001,0,0.894642857142857,0.105357142857143,0.0106111111111109,0.994,0.006,1,0,0.998,0.002,0.0167275284734448,0.993307149075715,0.00669285092428486,0.638297872340426,0.361702127659574,0.498479649914447,3200
"9","HH76d6ee152b","cellular",1,-1,0,"Chevrolet","Camaro",1985,"M","","",TRUE,4,FALSE,30,"admin.","married","secondary",0,187,1,0,"Wednesday",12,NA,1.76666666666673,0,0.894642857142857,0.105357142857143,0.0133333333333332,0.99,0.01,1,0,0.994,0.006,0.0192184476982319,0.993307149075715,0.00669285092428486,0.787234042553192,0.212765957446809,0.360034398926468,3586
"10","HHa2c59d2e2f","cellular",2,-1,0,"Kia","Sedona",2018,"M","","",FALSE,4,TRUE,30,"blue-collar","married","secondary",0,3,1,1,"Tuesday",9,NA,5.43333333333328,0,0.894642857142857,0.105357142857143,0.117833333333333,0.916,0.084,0.94,0.06,0.9,0.1,0.155637132010858,0.731058578630005,0.268941421369995,0.723404255319149,0.276595744680851,1.05053144091885,2420
"11","HH9122fe2c6a","cellular",1,-1,0,"Subaru","SVX",2019,"F","$556.28 ","Bolivian",TRUE,4,FALSE,27,"services","single","secondary",0,0,0,0,"Monday",13,NA,3.01666666666677,0,0.894642857142857,0.105357142857143,0.1325,0.872,0.128,0.91,0.09,0.864,0.136,4.53560205557472e-09,0.993307149075715,0.00669285092428486,0.595744680851064,0.404255319148936,0.870305317465966,2604
"12","HH50d5899425","cellular",1,-1,0,"Honda","Odyssey",2011,"F","","",TRUE,3,FALSE,53,"blue-collar","married","primary",1,-462,0,0,"Wednesday",16,NA,7.83333333333333,1,0.222222222222222,0.777777777777778,0.753777777777778,0.19,0.81,0.24,0.76,0.2,0.8,0.340277415695016,0.268941421369995,0.731058578630005,0.765957446808511,0.234042553191489,4.45315632529429,1286
"13","HH40d6625b07","cellular",1,-1,0,"Isuzu","i-Series",2018,"F","","",TRUE,1,FALSE,44,"technician","married","secondary",0,2776,1,0,"Monday",16,NA,11.6833333333333,1,0.222222222222222,0.777777777777778,0.9875,0.006,0.994,0.01,0.99,0,1,0.928155645610266,0.0474258731775666,0.952574126822433,0.468085106382979,0.531914893617021,6.1744224438275,350
"14","HH1053609743","not provided",2,-1,0,"Chevrolet","Impala",2015,"F","$351.37 ","Sri Lankan",FALSE,3,TRUE,38,"self-employed","divorced","secondary",0,2674,1,0,"Friday",10,NA,2.71666666666672,0,0.894642857142857,0.105357142857143,0.0181666666666665,0.984,0.016,0.94,0.06,0.986,0.014,2.09223053815059e-11,0.999876605424014,0.000123394575986232,0.936170212765957,0.0638297872340425,0.259310324688094,3842
"15","HHb47e7d94d5","cellular",8,97,12,"Porsche","Cayenne",2015,"F","","",FALSE,2,FALSE,25,"services","single",NA,0,2022,0,0,"Wednesday",14,"other",4.59999999999992,1,0.294964028776978,0.705035971223022,0.896555555555556,0.098,0.902,0.05,0.95,0.082,0.918,0.557268593896644,0.268941421369995,0.731058578630005,0.48936170212766,0.51063829787234,5.27400144162201,1032
"16","HHbee88255e4","cellular",1,114,3,"GMC","Savana 1500",2007,"M","","",TRUE,5,FALSE,61,"management","single","tertiary",0,2,0,0,"Wednesday",16,"failure",2.18333333333325,1,0.346938775510204,0.653061224489796,0.653444444444444,0.26,0.74,0.26,0.74,0.244,0.756,0.325671172849134,0.952574126822433,0.0474258731775668,0.617021276595745,0.382978723404255,3.64513699392075,1525
"17","HH07334114dc","telephone",3,362,4,"Acura","RL",2019,"F","","Eskimo",FALSE,3,TRUE,34,"admin.","single","secondary",0,69,1,0,"Wednesday",11,"other",1.53333333333331,0,0.894642857142857,0.105357142857143,0.0329444444444444,0.972,0.028,0.96,0.04,0.99,0.01,0.179268029998018,0.952574126822433,0.0474258731775668,0.51063829787234,0.48936170212766,0.899412748160387,2577
"18","HH51808510b3","cellular",4,95,2,"Lexus","",2012,"F","","",FALSE,4,TRUE,46,"management","married","tertiary",0,7331,0,0,"Friday",11,"other",10.9666666666666,1,0.222222222222222,0.777777777777778,0.757833333333333,0.256,0.744,0.27,0.73,0.278,0.722,0.82323101136894,0.00669285092428473,0.993307149075715,0.425531914893617,0.574468085106383,5.36478402332882,988
"19","HH549e143536","cellular",1,169,2,"Lexus","LS",2019,"F","","",TRUE,5,TRUE,49,"blue-collar","married","secondary",0,2039,1,0,"Wednesday",12,"failure",7.51666666666667,1,0.222222222222222,0.777777777777778,0.822611111111111,0.13,0.87,0.2,0.8,0.136,0.864,0.513345722226839,0.268941421369995,0.731058578630005,0.666666666666667,0.333333333333333,4.88951541196796,1166
"20","HH06633a4031","telephone",1,-1,0,"Lincoln","MKT",2019,"M","","",TRUE,3,FALSE,50,"blue-collar","married","primary",0,82,0,0,"Sunday",10,NA,7.59999999999999,1,0.222222222222222,0.777777777777778,0.657333333333333,0.392,0.608,0.4,0.6,0.408,0.592,0.744359434360387,0.731058578630005,0.268941421369995,0.617021276595745,0.382978723404255,3.97405735691241,1427
"21","HH380dc273c1","not provided",8,-1,0,"Ford","Ranger",2019,"F","","",TRUE,5,TRUE,57,"blue-collar","married","secondary",0,773,1,1,"Thursday",9,NA,1.61666666666663,0,0.787671232876712,0.212328767123288,0.00999999999999989,0.99,0.01,0.98,0.02,0.986,0.014,0.0131128046629474,0.993307149075715,0.00669285092428486,0.936170212765957,0.0638297872340425,0.339964209944562,3640
"22","HH5f28bd7f6b","telephone",3,91,13,"Chevrolet","Silverado 3500",2011,"M","","Cheyenne",FALSE,5,FALSE,80,"retired","married","secondary",0,8304,0,0,"Tuesday",17,"success",10.1000000000001,1,0.222222222222222,0.777777777777778,0.871111111111111,0.078,0.922,0.1,0.9,0.116,0.884,0.986358809770654,0.268941421369995,0.731058578630005,0.106382978723404,0.893617021276596,6.09481218745503,433
"23","HHde2d5f4d9e","cellular",2,-1,0,"Hyundai","Elantra",2004,"F","","",TRUE,1,TRUE,31,"management","single","tertiary",0,0,0,0,"Friday",14,NA,3.63333333333347,0,0.894642857142857,0.105357142857143,0.0680555555555555,0.946,0.054,0.98,0.02,0.946,0.054,0.233057147602625,0.731058578630005,0.268941421369995,0.595744680851064,0.404255319148936,1.1396110309787,2340
"24","HH6a0fa7c63b","cellular",1,119,2,"Mercury","Topaz",2003,"M","","",TRUE,2,TRUE,63,"retired","married","secondary",0,2896,0,0,"Wednesday",15,"success",5.06666666666661,1,0.148936170212766,0.851063829787234,1,0,1,0.01,0.99,0.002,0.998,0.969176041802251,0.0474258731775666,0.952574126822433,0.170212765957447,0.829787234042553,6.59060123245447,49
"25","HH8e04382632","cellular",1,558,7,"Lamborghini","Countach",1997,"M","","",FALSE,2,TRUE,60,"technician","married","secondary",0,824,1,0,"Sunday",16,"other",2.11666666666678,1,0.787671232876712,0.212328767123288,0.739444444444444,0.248,0.752,0.25,0.75,0.232,0.768,0.490611194071065,0.268941421369995,0.731058578630005,0.595744680851064,0.404255319148936,4.10825385897329,1388
"26","HH0ebd23807e","cellular",2,-1,0,"Nissan","Pathfinder",2009,"M","$827.82 ","Latin American Indian",FALSE,2,FALSE,29,"management","married","tertiary",0,900,0,0,"Friday",17,NA,4.5833333333333,0,0.894642857142857,0.105357142857143,0.120222222222222,0.88,0.12,0.9,0.1,0.872,0.128,8.14957705112234e-09,0.993307149075715,0.00669285092428486,0.723404255319149,0.276595744680851,0.736645746611856,2762
"27","HH59fe0827b8","cellular",3,-1,0,"Lexus","GX",2019,"M","$565.04 ","",TRUE,4,FALSE,54,"management","married","primary",0,3859,0,1,"Friday",10,NA,1.73333333333334,0,0.894642857142857,0.105357142857143,0.0408888888888888,0.956,0.044,0.99,0.01,0.958,0.042,9.35135653260187e-10,0.999088948805599,0.000911051194400645,0.74468085106383,0.25531914893617,0.457587343922849,3328
"28","HH48790e8956","cellular",3,-1,0,"BMW","Alpina B7",2017,"M","","",TRUE,1,FALSE,45,"not provided","divorced",NA,0,0,0,0,"Tuesday",12,NA,4.63333333333331,1,0.294964028776978,0.705035971223022,0.927722222222222,0.046,0.954,0.06,0.94,0.082,0.918,0.999735003847022,0.0474258731775666,0.952574126822433,0.48936170212766,0.51063829787234,5.97998339976482,582
"29","HH913b2fe6bb","not provided",3,-1,0,"Mazda","CX-7",2019,"F","","",FALSE,3,FALSE,34,"services","married","secondary",0,-62,1,0,"Tuesday",13,NA,1.81666666666674,0,0.894642857142857,0.105357142857143,0.00299999999999981,0.994,0.006,1,0,0.992,0.008,0.0308407296093531,0.952574126822433,0.0474258731775668,0.936170212765957,0.0638297872340425,0.261453532878105,3837
"30","HH24bba1e369","not provided",14,-1,0,"Chevrolet","G-Series G10",2002,"F","","",FALSE,5,TRUE,42,"blue-collar","married","primary",0,832,0,0,"Saturday",10,NA,0.216666666666647,0,0.894642857142857,0.105357142857143,0.0016666666666664,0.994,0.006,0.99,0.01,0.996,0.004,0.00455095911856601,0.993307149075715,0.00669285092428486,0.851063829787234,0.148936170212766,0.28553712311276,3780
"31","HH787bde3633","telephone",3,84,3,"Ford","Courier",1996,"F","","",FALSE,2,FALSE,54,"technician","married","secondary",0,0,0,0,"Thursday",11,"success",12.7666666666666,1,0.222222222222222,0.777777777777778,0.975388888888889,0.014,0.986,0.02,0.98,0.024,0.976,0.999999179834723,0.000123394575986313,0.999876605424014,0.234042553191489,0.765957446808511,6.48561100984502,120
"32","HH0a030f0318","cellular",1,194,3,"Porsche","911",2011,"M","","",FALSE,1,FALSE,32,"admin.","single","secondary",0,6981,1,0,"Tuesday",10,"failure",2.56666666666669,0,0.894642857142857,0.105357142857143,0.108277777777778,0.904,0.096,0.89,0.11,0.924,0.076,0.358224469936756,0.268941421369995,0.731058578630005,0.553191489361702,0.446808510638298,1.9234487020622,1948
"33","HHaf7e5b31f8","cellular",3,-1,0,"Chevrolet","Caprice Classic",2003,"F","","Paiute",FALSE,4,FALSE,57,"retired","single","tertiary",0,842,0,0,"Thursday",10,NA,4.73333333333333,1,0.894642857142857,0.105357142857143,0.720555555555556,0.296,0.704,0.36,0.64,0.298,0.702,0.849127905387428,0.268941421369995,0.731058578630005,0.425531914893617,0.574468085106383,4.30601171198096,1338
"34","HHf30d125723","cellular",2,-1,0,"Chevrolet","Suburban 1500",2019,"M","","",FALSE,3,FALSE,36,"management","divorced","tertiary",0,1057,0,0,"Wednesday",15,NA,6.38333333333327,0,0.222222222222222,0.777777777777778,0.210944444444445,0.852,0.148,0.79,0.21,0.812,0.188,0.518950512819313,0.731058578630005,0.268941421369995,0.702127659574468,0.297872340425532,2.40954205239262,1819
"35","HH721e8c3433","not provided",7,-1,0,"BMW","X5 M",2019,"F","","",TRUE,5,FALSE,34,"blue-collar","single","secondary",0,1698,1,0,"Wednesday",13,NA,0.649999999999942,0,0.894642857142857,0.105357142857143,0.00299999999999973,0.998,0.002,1,0,0.998,0.002,5.97482642396764e-07,0.999088948805599,0.000911051194400645,0.914893617021277,0.0851063829787234,0.195375174512909,3956
"36","HHe835fc18ba","cellular",1,-1,0,"GMC","Sonoma Club",2002,"F","","",FALSE,3,TRUE,39,"blue-collar","married","secondary",0,300,1,0,"Thursday",14,NA,8.43333333333327,0,0.878048780487805,0.121951219512195,0.0171666666666666,0.988,0.012,0.94,0.06,0.994,0.006,0.000105910004509369,0.952574126822433,0.0474258731775668,0.808510638297872,0.191489361702128,0.438972364396399,3379
"37","HH93e22eeed0","not provided",3,-1,0,"Ford","F150",2015,"F","","",TRUE,3,FALSE,31,"blue-collar","married","secondary",0,664,1,1,"Thursday",11,NA,16.45,0,0.222222222222222,0.777777777777778,0.439333333333333,0.658,0.342,0.76,0.24,0.628,0.372,0.511292856942965,0.731058578630005,0.268941421369995,0.851063829787234,0.148936170212766,2.6609482263035,1769
"38","HH8c678e794f","cellular",5,-1,0,"Hyundai","XG350",2012,"F","","",FALSE,2,TRUE,33,"admin.","married","secondary",0,0,1,0,"Thursday",15,NA,0.683333333333334,0,0.894642857142857,0.105357142857143,0.0125555555555554,0.998,0.002,0.99,0.01,0.996,0.004,0.0261831867653541,0.952574126822433,0.0474258731775668,0.808510638297872,0.191489361702128,0.386455564502191,3521
"39","HH664b64fca0","cellular",3,-1,0,"Lexus","LS",2003,"M","","",TRUE,3,TRUE,41,"blue-collar","divorced","primary",0,138,1,0,"Saturday",13,NA,10.6666666666667,1,0.222222222222222,0.777777777777778,0.951166666666667,0.064,0.936,0.09,0.91,0.058,0.942,0.624838593125874,0.0474258731775666,0.952574126822433,0.531914893617021,0.468085106382979,5.61127560410906,842
